epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,789.578,0.57866,0.47609,1.01846,0.85972,0.80018,0.86474,0.60378,0.95948,0.79716,1.21293,0.000742625,0.000742625,0.000742625
43,808.222,0.57399,0.46977,1.01953,0.83187,0.86624,0.87777,0.61897,1.00202,0.7733,1.2745,0.00073025,0.00073025,0.00073025
44,826.841,0.55399,0.45925,1.00786,0.82348,0.83979,0.885,0.6265,0.99038,0.80165,1.24855,0.000717875,0.000717875,0.000717875
45,845.586,0.58436,0.47845,1.02791,0.81449,0.839,0.8631,0.59857,0.97506,0.80501,1.23531,0.0007055,0.0007055,0.0007055
46,864.19,0.54877,0.45085,0.99719,0.83566,0.85904,0.87061,0.60981,0.98149,0.79328,1.27202,0.000693125,0.000693125,0.000693125
47,882.796,0.55684,0.45402,1.00949,0.78683,0.89417,0.88058,0.62801,1.02109,0.82433,1.25367,0.00068075,0.00068075,0.00068075
48,901.518,0.53476,0.43716,0.99497,0.83674,0.84067,0.87394,0.64064,0.96961,0.77302,1.20489,0.000668375,0.000668375,0.000668375
49,920.139,0.53476,0.43598,0.99362,0.81227,0.87993,0.90573,0.66446,0.92815,0.71371,1.20178,0.000656,0.000656,0.000656
50,938.807,0.52533,0.42114,0.98804,0.89436,0.82879,0.899,0.6363,0.98365,0.713,1.25731,0.000643625,0.000643625,0.000643625
51,957.406,0.51781,0.42704,0.99114,0.85151,0.86458,0.87376,0.61927,1.0104,0.7799,1.26123,0.00063125,0.00063125,0.00063125
52,976.067,0.52292,0.43358,0.99025,0.88292,0.82454,0.85577,0.61928,0.95137,0.78474,1.24466,0.000618875,0.000618875,0.000618875
53,994.709,0.51261,0.41496,0.98434,0.88993,0.82732,0.89928,0.63675,0.97647,0.73888,1.21832,0.0006065,0.0006065,0.0006065
54,1013.39,0.5102,0.41611,0.99231,0.90188,0.79303,0.88332,0.63687,0.97745,0.70748,1.22694,0.000594125,0.000594125,0.000594125
55,1032.01,0.49337,0.40804,0.97354,0.86831,0.82897,0.87747,0.62453,0.97743,0.77085,1.26343,0.00058175,0.00058175,0.00058175
56,1050.66,0.49752,0.40009,0.97842,0.87893,0.84769,0.88649,0.63011,1.00778,0.74062,1.312,0.000569375,0.000569375,0.000569375
57,1069.3,0.49974,0.4001,0.9758,0.85552,0.83319,0.88824,0.63062,1.03097,0.84202,1.29384,0.000557,0.000557,0.000557
58,1087.89,0.47688,0.38592,0.96992,0.87711,0.8489,0.8636,0.63038,0.94528,0.73977,1.2139,0.000544625,0.000544625,0.000544625
59,1106.5,0.48316,0.39486,0.9689,0.85711,0.8461,0.88261,0.62424,0.98106,0.76185,1.24724,0.00053225,0.00053225,0.00053225
60,1125.04,0.47638,0.39229,0.96907,0.85515,0.78937,0.84394,0.60216,0.95535,0.95434,1.24457,0.000519875,0.000519875,0.000519875
61,1143.64,0.47013,0.37846,0.96357,0.84594,0.79622,0.83084,0.58888,0.99843,0.87076,1.3068,0.0005075,0.0005075,0.0005075
62,1162.27,0.47155,0.37846,0.9627,0.8794,0.84296,0.86158,0.63277,0.9388,0.72519,1.23569,0.000495125,0.000495125,0.000495125
63,1180.9,0.4598,0.36787,0.95494,0.87522,0.80657,0.86708,0.64629,0.94816,0.7464,1.20694,0.00048275,0.00048275,0.00048275
64,1199.47,0.45844,0.36954,0.95753,0.84578,0.83391,0.85234,0.63072,0.93404,0.73976,1.2219,0.000470375,0.000470375,0.000470375
65,1218.03,0.45417,0.36513,0.95671,0.87014,0.8181,0.8839,0.65285,0.94611,0.7134,1.23241,0.000458,0.000458,0.000458
66,1236.76,0.43816,0.35892,0.94956,0.8993,0.80871,0.89841,0.65703,0.9607,0.74699,1.23636,0.000445625,0.000445625,0.000445625
67,1255.38,0.43459,0.34693,0.94147,0.86029,0.86722,0.90198,0.65725,0.94905,0.71647,1.25799,0.00043325,0.00043325,0.00043325
68,1273.8,0.43109,0.34454,0.93769,0.86838,0.83748,0.89217,0.6548,0.97937,0.72328,1.26599,0.000420875,0.000420875,0.000420875
69,1292.19,0.42347,0.33942,0.93834,0.89401,0.82482,0.89987,0.64419,0.95547,0.72998,1.23358,0.0004085,0.0004085,0.0004085
70,1310.67,0.41178,0.3327,0.93855,0.88171,0.82246,0.89081,0.64471,0.93136,0.74595,1.22282,0.000396125,0.000396125,0.000396125
71,1329.11,0.41067,0.32817,0.93686,0.87913,0.86778,0.91244,0.65985,0.96248,0.69656,1.22658,0.00038375,0.00038375,0.00038375
72,1347.6,0.41597,0.33558,0.93856,0.84109,0.88423,0.90175,0.67185,0.9472,0.67755,1.24096,0.000371375,0.000371375,0.000371375
73,1366.19,0.41702,0.3301,0.93533,0.86321,0.81628,0.88533,0.66066,0.93338,0.70727,1.24477,0.000359,0.000359,0.000359
74,1384.64,0.40055,0.32723,0.93312,0.89142,0.86821,0.90444,0.66523,0.94009,0.7454,1.25086,0.000346625,0.000346625,0.000346625
75,1403.09,0.40658,0.31917,0.93445,0.86633,0.87482,0.89879,0.65087,0.91703,0.71438,1.21868,0.00033425,0.00033425,0.00033425
76,1421.57,0.38524,0.30758,0.9236,0.82049,0.84906,0.89339,0.66406,0.90904,0.71816,1.21538,0.000321875,0.000321875,0.000321875
77,1440.1,0.39048,0.31339,0.93105,0.82501,0.87692,0.89157,0.6617,0.92851,0.70837,1.22616,0.0003095,0.0003095,0.0003095
78,1458.59,0.38478,0.30897,0.91911,0.84506,0.83245,0.87681,0.65459,0.9303,0.78753,1.25281,0.000297125,0.000297125,0.000297125
79,1477.1,0.38351,0.30001,0.92366,0.88935,0.85669,0.89654,0.66225,0.92535,0.75759,1.21859,0.00028475,0.00028475,0.00028475
80,1495.62,0.37038,0.29442,0.92033,0.85355,0.85529,0.88453,0.66197,0.91756,0.74254,1.22117,0.000272375,0.000272375,0.000272375
81,1514.18,0.37634,0.29961,0.92186,0.88271,0.80515,0.88518,0.64705,0.93806,0.73283,1.22043,0.00026,0.00026,0.00026
82,1532.72,0.36941,0.29883,0.91853,0.87186,0.83145,0.88095,0.66727,0.94818,0.74094,1.24924,0.000247625,0.000247625,0.000247625
83,1551.36,0.36137,0.29144,0.9189,0.88691,0.80775,0.88528,0.67134,0.93666,0.78102,1.25096,0.00023525,0.00023525,0.00023525
84,1569.9,0.35907,0.28967,0.91274,0.89142,0.83291,0.8988,0.6539,0.9559,0.75239,1.25894,0.000222875,0.000222875,0.000222875
85,1588.47,0.35907,0.28583,0.91523,0.87928,0.82888,0.88926,0.65375,0.93783,0.75039,1.25912,0.0002105,0.0002105,0.0002105
86,1607.03,0.34835,0.27474,0.90616,0.90013,0.8232,0.89842,0.65556,0.95978,0.74058,1.30335,0.000198125,0.000198125,0.000198125
87,1625.61,0.35516,0.28306,0.91564,0.87108,0.84775,0.8893,0.66072,0.93068,0.75125,1.25195,0.00018575,0.00018575,0.00018575
88,1644.42,0.35076,0.27813,0.90754,0.88587,0.85562,0.89952,0.66906,0.92032,0.72815,1.25298,0.000173375,0.000173375,0.000173375
89,1663.02,0.34647,0.27006,0.90901,0.87589,0.86355,0.90038,0.65322,0.9527,0.70114,1.28887,0.000161,0.000161,0.000161
90,1681.56,0.33629,0.26789,0.9026,0.86318,0.85098,0.90091,0.66457,0.93779,0.71032,1.2642,0.000148625,0.000148625,0.000148625
91,1701.88,0.32052,0.22874,0.86234,0.8965,0.82261,0.89462,0.64885,0.93424,0.72547,1.27894,0.00013625,0.00013625,0.00013625
92,1720.4,0.28956,0.19763,0.84827,0.89218,0.85011,0.89893,0.66033,0.9619,0.70866,1.32198,0.000123875,0.000123875,0.000123875
93,1738.87,0.27756,0.18777,0.83809,0.89947,0.83575,0.89242,0.66087,0.93498,0.69817,1.27756,0.0001115,0.0001115,0.0001115
94,1757.3,0.27272,0.18797,0.84187,0.90125,0.83373,0.89432,0.66813,0.94259,0.7216,1.30714,9.9125e-05,9.9125e-05,9.9125e-05
95,1775.7,0.26147,0.18084,0.8387,0.90949,0.82916,0.88785,0.65365,0.91619,0.7126,1.28905,8.675e-05,8.675e-05,8.675e-05
96,1794.16,0.26115,0.18378,0.8413,0.87694,0.84563,0.88436,0.64553,0.95134,0.72904,1.32272,7.4375e-05,7.4375e-05,7.4375e-05
97,1812.63,0.25377,0.17763,0.83428,0.88535,0.84804,0.89322,0.65584,0.93214,0.7365,1.30259,6.2e-05,6.2e-05,6.2e-05
98,1831.08,0.25026,0.17217,0.8301,0.90948,0.8218,0.89079,0.65274,0.93634,0.70895,1.30915,4.9625e-05,4.9625e-05,4.9625e-05
99,1849.61,0.2463,0.17227,0.83222,0.90653,0.83505,0.89306,0.6661,0.92378,0.72283,1.2912,3.725e-05,3.725e-05,3.725e-05
100,1868.56,0.24139,0.17061,0.8299,0.90526,0.83223,0.89144,0.65959,0.92703,0.72168,1.29198,2.4875e-05,2.4875e-05,2.4875e-05
