epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,522.662,0.59126,0.49604,1.02312,0.86556,0.72254,0.80574,0.5561,1.06765,1.17543,1.36335,0.000742625,0.000742625,0.000742625
43,534.865,0.57355,0.47551,1.00633,0.86735,0.79852,0.8516,0.59687,1.04144,0.89446,1.35595,0.00073025,0.00073025,0.00073025
44,547.123,0.56273,0.46495,0.99798,0.8009,0.73678,0.76562,0.51453,1.12442,1.37751,1.40951,0.000717875,0.000717875,0.000717875
45,559.405,0.57075,0.46761,1.0023,0.74343,0.81666,0.84011,0.56837,1.00643,0.97132,1.32859,0.0007055,0.0007055,0.0007055
46,571.645,0.56213,0.45641,1.00114,0.8402,0.69963,0.80314,0.55844,1.11368,1.17954,1.40173,0.000693125,0.000693125,0.000693125
47,583.958,0.56029,0.45999,1.00226,0.90861,0.74462,0.8435,0.57686,1.05328,1.04475,1.3408,0.00068075,0.00068075,0.00068075
48,596.259,0.55222,0.45903,0.99455,0.90075,0.86419,0.88931,0.62577,1.01039,0.72364,1.32319,0.000668375,0.000668375,0.000668375
49,608.578,0.54178,0.45272,0.99169,0.8461,0.83638,0.85943,0.6001,0.99964,0.86615,1.31683,0.000656,0.000656,0.000656
50,620.893,0.53424,0.43975,0.9901,0.87996,0.78886,0.85514,0.59442,1.08212,0.97359,1.40075,0.000643625,0.000643625,0.000643625
51,633.132,0.53302,0.43021,0.98056,0.84478,0.76364,0.81537,0.57676,1.12209,1.27594,1.44528,0.00063125,0.00063125,0.00063125
52,645.417,0.53283,0.43439,0.98717,0.84374,0.76408,0.83015,0.58928,0.99464,0.90056,1.29611,0.000618875,0.000618875,0.000618875
53,657.696,0.53301,0.42632,0.98657,0.90757,0.83226,0.88959,0.62725,1.00497,0.70809,1.31971,0.0006065,0.0006065,0.0006065
54,669.965,0.52374,0.42093,0.97965,0.69473,0.76599,0.7525,0.52335,1.08323,2.49776,1.41106,0.000594125,0.000594125,0.000594125
55,682.247,0.5098,0.41465,0.97762,0.84143,0.81022,0.82924,0.59122,1.08673,1.08305,1.40775,0.00058175,0.00058175,0.00058175
