epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1586.2,0.63284,0.55262,1.07756,0.85243,0.82064,0.85816,0.61125,0.98309,0.83201,1.25752,0.000742625,0.000742625,0.000742625
43,1623.73,0.61258,0.55113,1.0694,0.85644,0.82054,0.85113,0.62077,0.99062,0.86704,1.30067,0.00073025,0.00073025,0.00073025
44,1661.38,0.62145,0.54204,1.0705,0.92931,0.80314,0.89178,0.60515,1.04869,0.78983,1.32431,0.000717875,0.000717875,0.000717875
45,1698.86,0.60603,0.53384,1.06434,0.88601,0.84056,0.88892,0.62896,0.96142,0.69722,1.2792,0.0007055,0.0007055,0.0007055
46,1736.56,0.58656,0.51389,1.05546,0.87974,0.8085,0.87881,0.60556,0.98445,0.71097,1.28522,0.000693125,0.000693125,0.000693125
47,1773.86,0.59084,0.52657,1.0497,0.86161,0.86589,0.89866,0.62109,0.9973,0.75967,1.30463,0.00068075,0.00068075,0.00068075
48,1811.32,0.5889,0.52206,1.05697,0.84489,0.80057,0.86321,0.60409,1.01957,0.81257,1.32876,0.000668375,0.000668375,0.000668375
49,1848.76,0.57353,0.50178,1.05089,0.87483,0.78672,0.85821,0.60652,1.01121,0.82268,1.30427,0.000656,0.000656,0.000656
50,1886.18,0.56992,0.48697,1.0428,0.85808,0.82936,0.88177,0.63444,0.95394,0.76284,1.23867,0.000643625,0.000643625,0.000643625
51,1923.71,0.55017,0.47523,1.02575,0.88075,0.80148,0.88311,0.62664,0.98415,0.78204,1.26469,0.00063125,0.00063125,0.00063125
52,1961.09,0.5569,0.48528,1.03652,0.91124,0.8412,0.90714,0.61856,1.00595,0.75647,1.29631,0.000618875,0.000618875,0.000618875
53,1998.44,0.56255,0.48406,1.03799,0.91904,0.80747,0.89349,0.65164,0.95869,0.72484,1.25641,0.0006065,0.0006065,0.0006065
54,2036.14,0.54236,0.46468,1.02406,0.82882,0.83871,0.89331,0.65323,0.98396,0.77879,1.30617,0.000594125,0.000594125,0.000594125
55,2073.71,0.54059,0.46179,1.02313,0.83495,0.84127,0.8703,0.60701,1.00543,0.76851,1.31233,0.00058175,0.00058175,0.00058175
56,2111.18,0.52322,0.44409,1.01516,0.91462,0.82252,0.8835,0.64481,0.94525,0.72975,1.29012,0.000569375,0.000569375,0.000569375
57,2148.73,0.52364,0.44974,1.01478,0.92465,0.77691,0.89791,0.62681,0.94317,0.71122,1.26703,0.000557,0.000557,0.000557
58,2186.42,0.50939,0.43839,1.00974,0.89444,0.85912,0.9187,0.64948,0.97916,0.71373,1.28966,0.000544625,0.000544625,0.000544625
59,2223.89,0.5058,0.42925,0.99897,0.92161,0.8148,0.89483,0.62767,1.00101,0.74496,1.2916,0.00053225,0.00053225,0.00053225
60,2261.4,0.49829,0.42647,1.00366,0.885,0.82183,0.88852,0.65299,0.93794,0.71288,1.23842,0.000519875,0.000519875,0.000519875
61,2298.96,0.49827,0.4325,0.99999,0.90301,0.81107,0.90545,0.66151,0.93195,0.73992,1.24238,0.0005075,0.0005075,0.0005075
62,2336.69,0.48986,0.41474,0.99552,0.84596,0.84091,0.88286,0.64654,0.9345,0.74068,1.24892,0.000495125,0.000495125,0.000495125
63,2374.31,0.48464,0.41536,0.98845,0.89562,0.83276,0.89383,0.64974,0.97051,0.71415,1.29271,0.00048275,0.00048275,0.00048275
64,2411.9,0.46961,0.3953,0.98072,0.8915,0.85924,0.90379,0.66086,0.94268,0.69934,1.25827,0.000470375,0.000470375,0.000470375
65,2449.28,0.46176,0.39693,0.98522,0.85186,0.86078,0.90431,0.66944,0.95759,0.7011,1.29353,0.000458,0.000458,0.000458
66,2487.01,0.46539,0.39562,0.98148,0.9028,0.83946,0.89225,0.6535,0.96838,0.7542,1.30736,0.000445625,0.000445625,0.000445625
67,2524.48,0.46239,0.38588,0.97744,0.91529,0.81069,0.87825,0.6364,0.95893,0.77291,1.28414,0.00043325,0.00043325,0.00043325
68,2561.92,0.45411,0.38592,0.96838,0.90352,0.84405,0.9003,0.68488,0.91081,0.69267,1.25584,0.000420875,0.000420875,0.000420875
69,2599.62,0.44408,0.37789,0.96792,0.92684,0.78241,0.89298,0.658,0.92845,0.68202,1.22886,0.0004085,0.0004085,0.0004085
70,2637.12,0.45579,0.37501,0.97646,0.89038,0.81291,0.88441,0.63268,0.95792,0.79243,1.2729,0.000396125,0.000396125,0.000396125
71,2674.73,0.4465,0.37575,0.97672,0.92165,0.82335,0.89126,0.67334,0.9005,0.77204,1.24017,0.00038375,0.00038375,0.00038375
72,2712.43,0.42767,0.36494,0.95946,0.92419,0.8355,0.89395,0.66523,0.97135,0.7792,1.29336,0.000371375,0.000371375,0.000371375
73,2750.03,0.43072,0.36259,0.96182,0.86723,0.85126,0.89947,0.67929,0.90558,0.69292,1.24865,0.000359,0.000359,0.000359
74,2787.74,0.41946,0.35882,0.9519,0.86524,0.86169,0.90699,0.67338,0.96492,0.71726,1.30876,0.000346625,0.000346625,0.000346625
75,2825.25,0.42483,0.35839,0.9601,0.86482,0.86219,0.89207,0.6766,0.94592,0.70188,1.2894,0.00033425,0.00033425,0.00033425
76,2862.73,0.40718,0.3436,0.951,0.90939,0.86411,0.90809,0.67682,0.9189,0.73493,1.24502,0.000321875,0.000321875,0.000321875
77,2900.57,0.40123,0.3364,0.94765,0.89037,0.85113,0.90623,0.67265,0.96069,0.75595,1.31214,0.0003095,0.0003095,0.0003095
78,2938.26,0.40551,0.33961,0.94838,0.92472,0.83098,0.89739,0.68111,0.93098,0.74192,1.25302,0.000297125,0.000297125,0.000297125
79,2975.88,0.40158,0.33455,0.94923,0.90171,0.86618,0.89265,0.67448,0.94169,0.7396,1.26618,0.00028475,0.00028475,0.00028475
80,3013.47,0.38986,0.32883,0.94466,0.91301,0.8454,0.90946,0.69996,0.92733,0.6927,1.26458,0.000272375,0.000272375,0.000272375
81,3051.32,0.3875,0.32906,0.93803,0.92807,0.83526,0.91299,0.69048,0.93471,0.71614,1.28774,0.00026,0.00026,0.00026
82,3088.94,0.3734,0.31626,0.93382,0.92539,0.82209,0.90144,0.68515,0.94382,0.76064,1.30865,0.000247625,0.000247625,0.000247625
83,3126.51,0.37741,0.31621,0.94278,0.92112,0.86129,0.89783,0.67605,0.92276,0.68852,1.27694,0.00023525,0.00023525,0.00023525
84,3164.04,0.37186,0.31382,0.93434,0.89383,0.84869,0.89973,0.68772,0.95485,0.7805,1.33774,0.000222875,0.000222875,0.000222875
85,3201.51,0.36621,0.31055,0.93276,0.8986,0.85256,0.89955,0.68546,0.94445,0.76536,1.31329,0.0002105,0.0002105,0.0002105
86,3238.93,0.36362,0.30451,0.93486,0.8869,0.84811,0.89503,0.68483,0.92611,0.75936,1.28531,0.000198125,0.000198125,0.000198125
87,3276.49,0.35725,0.2963,0.92347,0.93323,0.84493,0.89714,0.67905,0.94168,0.72069,1.31594,0.00018575,0.00018575,0.00018575
88,3314.07,0.3484,0.29499,0.91981,0.93703,0.84625,0.90563,0.68512,0.93349,0.7443,1.30183,0.000173375,0.000173375,0.000173375
89,3351.66,0.35107,0.29512,0.92807,0.90185,0.83256,0.9061,0.67186,0.93122,0.7548,1.29483,0.000161,0.000161,0.000161
90,3389.4,0.35339,0.2927,0.9246,0.93335,0.8414,0.91016,0.6912,0.92493,0.73626,1.28818,0.000148625,0.000148625,0.000148625
91,3427.92,0.32502,0.23602,0.87562,0.88599,0.82819,0.90495,0.67757,0.96114,0.74539,1.33377,0.00013625,0.00013625,0.00013625
92,3465.51,0.29237,0.2074,0.86246,0.94239,0.79272,0.90036,0.68726,0.93741,0.71988,1.31451,0.000123875,0.000123875,0.000123875
93,3503.18,0.28026,0.19816,0.85368,0.89675,0.86399,0.90367,0.6931,0.90708,0.73081,1.28834,0.0001115,0.0001115,0.0001115
94,3540.77,0.27332,0.19888,0.85319,0.87727,0.83786,0.88554,0.68606,0.88841,0.75666,1.26773,9.9125e-05,9.9125e-05,9.9125e-05
95,3578.39,0.26798,0.19311,0.84732,0.89741,0.8337,0.88891,0.6815,0.91161,0.729,1.28447,8.675e-05,8.675e-05,8.675e-05
96,3615.96,0.26174,0.18911,0.84772,0.90372,0.82814,0.89118,0.68715,0.89873,0.75598,1.2787,7.4375e-05,7.4375e-05,7.4375e-05
97,3653.65,0.25088,0.18079,0.83808,0.88532,0.84865,0.9017,0.70124,0.89617,0.72135,1.28308,6.2e-05,6.2e-05,6.2e-05
98,3691.46,0.24546,0.17624,0.83786,0.91848,0.8258,0.90084,0.71005,0.89683,0.72811,1.28275,4.9625e-05,4.9625e-05,4.9625e-05
99,3729.32,0.24569,0.17773,0.83953,0.92279,0.82564,0.89289,0.70256,0.88224,0.74232,1.27705,3.725e-05,3.725e-05,3.725e-05
100,3766.96,0.24391,0.17416,0.84006,0.9305,0.81225,0.89186,0.70459,0.89156,0.75102,1.29633,2.4875e-05,2.4875e-05,2.4875e-05
